condition,retrieval_definition,n_cases,primary_gold_chunk_recall_at_4,primary_source_recall_at_4,hit_at_4,mrr
R0,lexical retrieval; top 4,42,0.42857142857142855,0.8909090909090909,0.5952380952380952,0.4503968253968254
R1,dense SiliconFlow BAAI/bge-m3; top 4,42,0.6349206349206349,0.8909090909090909,0.7857142857142857,0.6051587301587302
R2,lexical + dense reciprocal-rank fusion (RRF = 1/(60 + lexical_rank) + 1/(60 + dense_rank)); top 4,42,0.5396825396825397,0.8909090909090909,0.7380952380952381,0.5734126984126984
R3,R2 candidate/rerank depth 12; BAAI/bge-reranker-v2-m3; top 4,42,0.5238095238095238,0.8363636363636363,0.6904761904761905,0.5813492063492064
